ANNO,MESE,TIPO_ATTO,TOTALE,MEDIA_GG_APPROVAZIONE,TOTALE_IMPEGNATO,TOTALE_MANDATI_COLLEGATI
2021,12,DELIBERA DI GIUNTA,11,1.3636364,0,0
2021,12,DETERMINAZIONI,75,,225390.47,59915.79
2021,12,ORDINANZE,6,,0,0
2021,11,ATTI DI LIQUIDAZIONE,80,,0,0
2021,11,DECRETI,3,,0,0
2021,11,DELIBERA DI CONSIGLIO,4,14,0,0
2021,11,DELIBERA DI GIUNTA,25,1.2,0,0
2021,11,DETERMINAZIONI,42,,926045.48,818577.13
2021,11,ORDINANZE,3,,0,0
2021,10,ATTI DI LIQUIDAZIONE,75,,0,0
2021,10,DECRETI,5,,0,0
2021,10,DELIBERA DI CONSIGLIO,11,6,0,0
2021,10,DELIBERA DI GIUNTA,5,1,0,0
2021,10,DETERMINAZIONI,26,,61724.49,35656.96
2021,10,ORDINANZE,7,,0,0
2021,9,ATTI DI LIQUIDAZIONE,55,,0,0
2021,9,DELIBERA DI GIUNTA,8,0.25,0,0
2021,9,DETERMINAZIONI,37,,495069.6,274093.84
2021,9,ORDINANZE,1,,0,0
2021,8,ATTI DI LIQUIDAZIONE,67,,0,0
2021,8,DECRETI,3,,0,0
2021,8,DELIBERA DI GIUNTA,11,0.23076923,166955.57,66106.44
2021,8,DETERMINAZIONI,43,,986406.52,578740.79
2021,8,ORDINANZE,4,,0,0
2021,7,ATTI DI LIQUIDAZIONE,76,,0,0
2021,7,DECRETI,2,,0,0
2021,7,DELIBERA DI CONSIGLIO,4,44,0,0
2021,7,DELIBERA DI GIUNTA,12,1,0,0
2021,7,DETERMINAZIONI,44,,88766.32,82153.78
2021,7,ORDINANZE,10,,0,0
2021,6,ATTI DI LIQUIDAZIONE,52,,0,0
2021,6,DECRETI,1,,0,0
2021,6,DELIBERA DI CONSIGLIO,4,20,0,0
2021,6,DELIBERA DI GIUNTA,16,1.3125,0,0
2021,6,DETERMINAZIONI,27,,345206.11,127862.18
2021,6,ORDINANZE,8,,0,0
2021,5,ATTI DI LIQUIDAZIONE,55,,0,0
2021,5,DECRETI,1,,0,0
2021,5,DELIBERA DI CONSIGLIO,10,27,0,0
2021,5,DELIBERA DI GIUNTA,10,0.6,0,0
2021,5,DETERMINAZIONI,36,,125481.86,106963.78
2021,5,ORDINANZE,6,,0,0
2021,4,ATTI DI LIQUIDAZIONE,65,,0,0
2021,4,DECRETI,3,,0,0
2021,4,DELIBERA DI GIUNTA,17,0,0,0
2021,4,DETERMINAZIONI,37,,103386.18,57092.2
2021,4,ORDINANZE,12,,0,0
2021,3,ATTI DI LIQUIDAZIONE,67,,0,0
2021,3,DELIBERA DI CONSIGLIO,6,4,0,0
2021,3,DELIBERA DI GIUNTA,14,0,0,0
2021,3,DETERMINAZIONI,31,,779624.83,665853.67
2021,3,ORDINANZE,14,,0,0
2021,2,ATTI DI LIQUIDAZIONE,42,,0,0
2021,2,DECRETI,1,,0,0
2021,2,DELIBERA DI CONSIGLIO,7,12,0,0
2021,2,DELIBERA DI GIUNTA,18,1.3333333,0,0
2021,2,DETERMINAZIONI,20,,466101.25,282540.85
2021,2,ORDINANZE,4,,0,0
2021,1,ATTI DI LIQUIDAZIONE,73,,0,0
2021,1,DECRETI,2,,0,0
2021,1,DELIBERA DI GIUNTA,6,1.3333333,0,0
2021,1,DETERMINAZIONI,28,,70024.76,53830.7
2021,1,ORDINANZE,7,,0,0
2020,12,ATTI DI LIQUIDAZIONE,48,,0,0
2020,12,DECRETI,8,,0,0
2020,12,DELIBERA DI CONSIGLIO,3,15,0,0
2020,12,DELIBERA DI GIUNTA,15,5.3333333,0,0
2020,12,DETERMINAZIONI,56,,509753.5,127293.88
2020,12,ORDINANZE,1,,0,0
2020,11,ATTI DI LIQUIDAZIONE,83,,0,0
2020,11,DECRETI,5,,0,0
2020,11,DELIBERA DI CONSIGLIO,8,43,0,0
2020,11,DELIBERA DI GIUNTA,12,2.0833333,0,0
2020,11,DETERMINAZIONI,28,,131421.74,99586.52
2020,11,ORDINANZE,8,,0,0
2020,10,ATTI DI LIQUIDAZIONE,48,,0,0
2020,10,DECRETI,1,,0,0
